0;1;81
0;2;87
0;3;47
0;4;59
0;5;81
0;6;18
0;7;25
0;8;40
0;9;56
0;10;0
0;11;94
0;12;11
0;13;62
0;14;89
0;15;28
0;16;74
0;17;11
0;18;45
0;19;37
0;20;6
0;21;95
0;22;66
0;23;28
0;24;58
0;25;47
0;26;47
0;27;87
0;28;88
0;29;90
0;30;15
0;31;41
0;32;8
0;33;87
0;34;31
0;35;29
0;36;56
0;37;37
0;38;31
0;39;85
0;40;26
0;41;13
0;42;90
0;43;94
0;44;63
0;45;33
0;46;47
0;47;78
0;48;24
0;49;59
0;50;53
0;51;57
0;52;21
0;53;89
0;54;99
0;55;0
0;56;5
0;57;88
0;58;38
0;59;3
0;60;55
0;61;51
0;62;10
0;63;5
0;64;56
0;65;66
0;66;28
0;67;61
0;68;2
0;69;83
0;70;46
0;71;63
0;72;76
0;73;2
0;74;18
0;75;47
0;76;94
0;77;77
0;78;63
0;79;96
0;80;20
0;81;23
0;82;53
0;83;37
0;84;33
0;85;41
0;86;59
0;87;33
0;88;43
0;89;91
0;90;2
0;91;78
0;92;36
0;93;46
0;94;7
0;95;40
0;96;3
0;97;52
0;98;43
0;99;5
0;100;98
1;0;25
1;2;51
1;3;15
1;4;57
1;5;87
1;6;10
1;7;10
1;8;85
1;9;90
1;10;32
1;11;98
1;12;53
1;13;91
1;14;82
1;15;84
1;16;97
1;17;67
1;18;37
1;19;71
1;20;94
1;21;26
1;22;2
1;23;81
1;24;79
1;25;66
1;26;70
1;27;93
1;28;86
1;29;19
1;30;81
1;31;52
1;32;75
1;33;85
1;34;10
1;35;87
1;36;49
1;37;28
1;38;18
1;39;84
1;40;3
1;41;24
1;42;47
1;43;12
1;44;32
1;45;16
1;46;39
1;47;40
1;48;86
1;49;51
1;50;76
1;51;40
1;52;51
1;53;44
1;54;64
1;55;5
1;56;83
1;57;1
1;58;90
1;59;2
1;60;58
1;61;67
1;62;31
1;63;78
1;64;54
1;65;22
1;66;23
1;67;42
1;68;8
1;69;43
1;70;68
1;71;66
1;72;10
1;73;35
1;74;40
1;75;4
1;76;62
1;77;57
1;78;15
1;79;71
1;80;39
1;81;30
1;82;13
1;83;0
1;84;59
1;85;20
1;86;83
1;87;70
1;88;84
1;89;47
1;90;10
1;91;65
1;92;62
1;93;29
1;94;20
1;95;48
1;96;56
1;97;95
1;98;66
1;99;0
1;100;56
2;0;29
2;1;92
2;3;31
2;4;77
2;5;86
2;6;20
